OBJECTID,pointid,grid_code,POINT_X,POINT_Y
480,480,154,-84.75992062,31.19286245
481,481,157,-84.76288229,31.19283692
482,482,157,-84.76285675,31.19283692
483,483,156,-84.76283122,31.19283692
484,484,156,-84.76280569,31.19283692
485,485,156,-84.76278016,31.19283692
486,486,156,-84.76275463,31.19283692
487,487,156,-84.7627291,31.19283692
488,488,156,-84.76270356,31.19283692
489,489,156,-84.76267803,31.19283692
490,490,156,-84.7626525,31.19283692
491,491,156,-84.76262697,31.19283692
492,492,156,-84.76260144,31.19283692
493,493,156,-84.76257591,31.19283692
494,494,156,-84.76255037,31.19283692
495,495,156,-84.76252484,31.19283692
496,496,155,-84.76249931,31.19283692
497,497,155,-84.76247378,31.19283692
498,498,155,-84.76244825,31.19283692
499,499,155,-84.76242272,31.19283692
500,500,155,-84.76239718,31.19283692
501,501,155,-84.76237165,31.19283692
502,502,155,-84.76234612,31.19283692
503,503,155,-84.76232059,31.19283692
504,504,155,-84.76229506,31.19283692
505,505,155,-84.76226953,31.19283692
506,506,155,-84.76224399,31.19283692
507,507,155,-84.76221846,31.19283692
508,508,155,-84.76219293,31.19283692
509,509,155,-84.7621674,31.19283692
510,510,155,-84.76214187,31.19283692
511,511,155,-84.76211634,31.19283692
512,512,155,-84.76209081,31.19283692
513,513,155,-84.76206527,31.19283692
514,514,155,-84.76203974,31.19283692
515,515,155,-84.76201421,31.19283692
516,516,155,-84.76198868,31.19283692
517,517,155,-84.76196315,31.19283692
518,518,155,-84.76193762,31.19283692
519,519,155,-84.76191208,31.19283692
520,520,155,-84.76188655,31.19283692
521,521,155,-84.76186102,31.19283692
522,522,155,-84.76183549,31.19283692
523,523,155,-84.76180996,31.19283692
524,524,155,-84.76178443,31.19283692
525,525,155,-84.76175889,31.19283692
526,526,155,-84.76173336,31.19283692
527,527,155,-84.76170783,31.19283692
528,528,155,-84.7616823,31.19283692
529,529,155,-84.76165677,31.19283692
530,530,155,-84.76163124,31.19283692
531,531,155,-84.7616057,31.19283692
532,532,155,-84.76158017,31.19283692
533,533,154,-84.76155464,31.19283692
534,534,154,-84.76152911,31.19283692
535,535,154,-84.76150358,31.19283692
536,536,154,-84.76147805,31.19283692
537,537,155,-84.76145251,31.19283692
538,538,155,-84.76142698,31.19283692
539,539,155,-84.76140145,31.19283692
540,540,155,-84.76137592,31.19283692
541,541,155,-84.76135039,31.19283692
542,542,155,-84.76132486,31.19283692
543,543,155,-84.76129932,31.19283692
544,544,155,-84.76127379,31.19283692
545,545,155,-84.76124826,31.19283692
546,546,155,-84.76122273,31.19283692
547,547,155,-84.7611972,31.19283692
548,548,155,-84.76117167,31.19283692
549,549,155,-84.76114613,31.19283692
550,550,155,-84.7611206,31.19283692
551,551,155,-84.76109507,31.19283692
552,552,155,-84.76106954,31.19283692
553,553,155,-84.76104401,31.19283692
554,554,155,-84.76101848,31.19283692
555,555,155,-84.76099294,31.19283692
556,556,155,-84.76096741,31.19283692
557,557,155,-84.76094188,31.19283692
558,558,155,-84.76091635,31.19283692
559,559,155,-84.76089082,31.19283692
560,560,155,-84.76086529,31.19283692
561,561,155,-84.76083975,31.19283692
562,562,155,-84.76081422,31.19283692
563,563,155,-84.76078869,31.19283692
564,564,155,-84.76076316,31.19283692
565,565,155,-84.76073763,31.19283692
566,566,155,-84.7607121,31.19283692
567,567,155,-84.76068656,31.19283692
568,568,155,-84.76066103,31.19283692
569,569,155,-84.7606355,31.19283692
570,570,155,-84.76060997,31.19283692
571,571,155,-84.76058444,31.19283692
572,572,155,-84.76055891,31.19283692
573,573,155,-84.76053337,31.19283692
574,574,155,-84.76050784,31.19283692
575,575,155,-84.76048231,31.19283692
576,576,155,-84.76045678,31.19283692
577,577,155,-84.76043125,31.19283692
578,578,155,-84.76040572,31.19283692
579,579,155,-84.76038018,31.19283692
580,580,155,-84.76035465,31.19283692
581,581,155,-84.76032912,31.19283692
582,582,155,-84.76030359,31.19283692
583,583,155,-84.76027806,31.19283692
584,584,155,-84.76025253,31.19283692
585,585,155,-84.760227,31.19283692
586,586,155,-84.76020146,31.19283692
587,587,155,-84.76017593,31.19283692
588,588,155,-84.7601504,31.19283692
589,589,155,-84.76012487,31.19283692
590,590,155,-84.76009934,31.19283692
591,591,155,-84.76007381,31.19283692
592,592,155,-84.76004827,31.19283692
593,593,155,-84.76002274,31.19283692
594,594,155,-84.75999721,31.19283692
595,595,154,-84.75997168,31.19283692
596,596,154,-84.75994615,31.19283692
597,597,154,-84.75992062,31.19283692
598,598,154,-84.75989508,31.19283692
599,599,157,-84.76298441,31.19281138
600,600,157,-84.76295888,31.19281138
601,601,157,-84.76293335,31.19281138
602,602,157,-84.76290782,31.19281138
603,603,157,-84.76288229,31.19281138
604,604,157,-84.76285675,31.19281138
605,605,157,-84.76283122,31.19281138
606,606,157,-84.76280569,31.19281138
607,607,156,-84.76278016,31.19281138
608,608,156,-84.76275463,31.19281138
609,609,156,-84.7627291,31.19281138
610,610,156,-84.76270356,31.19281138
611,611,156,-84.76267803,31.19281138
612,612,156,-84.7626525,31.19281138
613,613,156,-84.76262697,31.19281138
614,614,156,-84.76260144,31.19281138
615,615,156,-84.76257591,31.19281138
616,616,156,-84.76255037,31.19281138
617,617,156,-84.76252484,31.19281138
618,618,156,-84.76249931,31.19281138
619,619,156,-84.76247378,31.19281138
620,620,155,-84.76244825,31.19281138
621,621,155,-84.76242272,31.19281138
622,622,155,-84.76239718,31.19281138
623,623,155,-84.76237165,31.19281138
624,624,155,-84.76234612,31.19281138
625,625,155,-84.76232059,31.19281138
626,626,155,-84.76229506,31.19281138
627,627,155,-84.76226953,31.19281138
628,628,155,-84.76224399,31.19281138
629,629,155,-84.76221846,31.19281138
630,630,155,-84.76219293,31.19281138
631,631,155,-84.7621674,31.19281138
632,632,155,-84.76214187,31.19281138
633,633,155,-84.76211634,31.19281138
634,634,155,-84.76209081,31.19281138
635,635,155,-84.76206527,31.19281138
636,636,155,-84.76203974,31.19281138
637,637,155,-84.76201421,31.19281138
638,638,155,-84.76198868,31.19281138
639,639,155,-84.76196315,31.19281138
640,640,155,-84.76193762,31.19281138
641,641,155,-84.76191208,31.19281138
642,642,155,-84.76188655,31.19281138
643,643,155,-84.76186102,31.19281138
644,644,155,-84.76183549,31.19281138
645,645,155,-84.76180996,31.19281138
646,646,155,-84.76178443,31.19281138
647,647,155,-84.76175889,31.19281138
648,648,155,-84.76173336,31.19281138
649,649,155,-84.76170783,31.19281138
650,650,155,-84.7616823,31.19281138
651,651,155,-84.76165677,31.19281138
652,652,155,-84.76163124,31.19281138
653,653,155,-84.7616057,31.19281138
654,654,155,-84.76158017,31.19281138
655,655,155,-84.76155464,31.19281138
656,656,155,-84.76152911,31.19281138
657,657,155,-84.76150358,31.19281138
658,658,155,-84.76147805,31.19281138
659,659,155,-84.76145251,31.19281138
660,660,155,-84.76142698,31.19281138
661,661,155,-84.76140145,31.19281138
662,662,155,-84.76137592,31.19281138
663,663,155,-84.76135039,31.19281138
664,664,155,-84.76132486,31.19281138
665,665,155,-84.76129932,31.19281138
666,666,155,-84.76127379,31.19281138
667,667,155,-84.76124826,31.19281138
668,668,155,-84.76122273,31.19281138
669,669,155,-84.7611972,31.19281138
670,670,155,-84.76117167,31.19281138
671,671,155,-84.76114613,31.19281138
672,672,155,-84.7611206,31.19281138
673,673,155,-84.76109507,31.19281138
674,674,155,-84.76106954,31.19281138
675,675,155,-84.76104401,31.19281138
676,676,155,-84.76101848,31.19281138
677,677,155,-84.76099294,31.19281138
678,678,155,-84.76096741,31.19281138
679,679,155,-84.76094188,31.19281138
680,680,155,-84.76091635,31.19281138
681,681,155,-84.76089082,31.19281138
682,682,155,-84.76086529,31.19281138
683,683,155,-84.76083975,31.19281138
684,684,155,-84.76081422,31.19281138
685,685,155,-84.76078869,31.19281138
686,686,155,-84.76076316,31.19281138
687,687,155,-84.76073763,31.19281138
688,688,155,-84.7607121,31.19281138
689,689,155,-84.76068656,31.19281138
